epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,430.174,0.79678,0.69231,1.18769,0.96142,0.90583,0.96806,0.75033,0.86286,0.64529,1.29726,0.00071504,0.00071504,0.00071504
56,437.501,0.79333,0.70191,1.196,0.96373,0.93722,0.98743,0.747,0.78025,0.52037,1.24017,0.000707707,0.000707707,0.000707707
57,445.56,0.81474,0.74402,1.21004,0.96242,0.93722,0.97133,0.74642,0.75834,0.5669,1.23561,0.000700374,0.000700374,0.000700374
58,453.092,0.79018,0.65422,1.17102,0.94152,0.93863,0.96962,0.7371,0.74616,0.57001,1.19711,0.000693042,0.000693042,0.000693042
59,460.84,0.72911,0.70542,1.15431,0.94492,0.92324,0.96301,0.75426,0.72054,0.53756,1.21385,0.000685709,0.000685709,0.000685709
60,468.568,0.71868,0.64303,1.09877,0.9608,0.97758,0.99147,0.81008,0.64274,0.46343,1.12114,0.000678377,0.000678377,0.000678377
61,476.3,0.7236,0.63732,1.16996,0.99188,0.96861,0.99433,0.80567,0.71089,0.45728,1.17457,0.000671044,0.000671044,0.000671044
62,484.614,0.73555,0.61405,1.14157,0.98191,0.98655,0.99402,0.81773,0.7047,0.45568,1.16028,0.000663711,0.000663711,0.000663711
63,491.273,0.77369,0.65988,1.1539,0.98315,0.98206,0.99356,0.83839,0.64134,0.42612,1.09742,0.000656379,0.000656379,0.000656379
64,499.838,0.79699,0.69134,1.242,0.98167,0.99552,0.99432,0.83096,0.6251,0.40779,1.08881,0.000649046,0.000649046,0.000649046
65,506.615,0.73334,0.61665,1.11898,0.96065,0.98515,0.99261,0.81995,0.65155,0.44655,1.10135,0.000641714,0.000641714,0.000641714
66,514.986,0.7887,0.67973,1.16734,0.96776,0.95516,0.99007,0.79842,0.69101,0.51287,1.14029,0.000634381,0.000634381,0.000634381
67,521.609,0.74006,0.63141,1.13972,0.98126,0.99103,0.99464,0.82876,0.67296,0.43001,1.14618,0.000627048,0.000627048,0.000627048
68,529.908,0.70714,0.60052,1.1243,0.99907,0.98655,0.99491,0.84734,0.56468,0.40722,1.05688,0.000619716,0.000619716,0.000619716
69,536.571,0.6803,0.57284,1.08913,0.99923,0.99103,0.995,0.85163,0.55319,0.37866,1.04063,0.000612383,0.000612383,0.000612383
70,545.449,0.74792,0.60453,1.15168,0.98574,0.99103,0.99482,0.83302,0.61024,0.39545,1.10601,0.000605051,0.000605051,0.000605051
71,552.8,0.66047,0.62114,1.12485,0.98013,0.99552,0.99464,0.84728,0.58176,0.39858,1.07051,0.000597718,0.000597718,0.000597718
72,560.874,0.71856,0.5759,1.10742,0.99816,0.99103,0.995,0.85133,0.60137,0.37506,1.07926,0.000590385,0.000590385,0.000590385
73,569.068,0.6831,0.59059,1.11727,0.99443,0.99552,0.995,0.84753,0.63221,0.37825,1.10228,0.000583053,0.000583053,0.000583053
74,575.884,0.7029,0.59879,1.09491,0.99004,0.99552,0.99491,0.84967,0.65223,0.39778,1.12067,0.00057572,0.00057572,0.00057572
75,584.299,0.63241,0.53525,1.07949,0.99342,0.99552,0.99496,0.84579,0.734,0.41504,1.26719,0.000568388,0.000568388,0.000568388
76,590.991,0.65102,0.6277,1.10391,0.99489,0.99552,0.995,0.86935,0.53843,0.37887,1.0341,0.000561055,0.000561055,0.000561055
77,599.165,0.69503,0.54955,1.13269,0.99514,1,0.995,0.87136,0.49504,0.36123,0.99067,0.000553722,0.000553722,0.000553722
78,606.883,0.63517,0.53523,1.09931,0.99553,0.9996,0.995,0.86759,0.50488,0.33556,0.99978,0.00054639,0.00054639,0.00054639
79,615.267,0.69217,0.56518,1.12936,1,0.99916,0.995,0.87279,0.493,0.33724,0.98487,0.000539057,0.000539057,0.000539057
80,622.702,0.61021,0.50801,1.08348,1,0.99501,0.995,0.8748,0.51328,0.33864,1.00985,0.000531725,0.000531725,0.000531725
81,630.136,0.65509,0.556,1.08363,0.98634,1,0.99477,0.85821,0.57955,0.37253,1.08282,0.000524392,0.000524392,0.000524392
82,637.57,0.63499,0.50975,1.0965,0.99062,1,0.995,0.86607,0.54333,0.35683,1.03952,0.000517059,0.000517059,0.000517059
83,645.526,0.67089,0.5638,1.08283,1,0.99466,0.995,0.87351,0.52258,0.35796,1.02114,0.000509727,0.000509727,0.000509727
84,653.358,0.67422,0.54278,1.08761,0.99545,0.99552,0.99496,0.87634,0.49353,0.35653,0.99145,0.000502394,0.000502394,0.000502394
85,660.727,0.6098,0.49423,1.06183,0.99551,0.99339,0.99496,0.88236,0.49426,0.36038,0.99616,0.000495062,0.000495062,0.000495062
86,669.03,0.61328,0.5292,1.07227,0.99835,0.99103,0.995,0.88939,0.48227,0.34553,0.97474,0.000487729,0.000487729,0.000487729
87,675.584,0.58173,0.5,1.03258,0.99751,0.99103,0.995,0.87349,0.48876,0.3471,0.98084,0.000480396,0.000480396,0.000480396
88,684.564,0.62673,0.54421,1.08004,0.99927,0.99103,0.995,0.88132,0.50048,0.35581,0.9983,0.000473064,0.000473064,0.000473064
89,691.33,0.65379,0.51032,1.06222,1,0.99549,0.995,0.88403,0.47774,0.33599,0.9717,0.000465731,0.000465731,0.000465731
90,699.523,0.65482,0.53858,1.07344,1,0.99948,0.995,0.88498,0.46147,0.32011,0.96565,0.000458399,0.000458399,0.000458399
91,706.669,0.6259,0.51372,1.11304,1,0.99957,0.995,0.89004,0.46849,0.32508,0.97655,0.000451066,0.000451066,0.000451066
92,714.718,0.61177,0.50228,1.04709,1,0.99968,0.995,0.89344,0.46253,0.32494,0.95023,0.000443733,0.000443733,0.000443733
93,722.345,0.61755,0.53121,1.06072,1,0.99969,0.995,0.90598,0.4318,0.31381,0.94422,0.000436401,0.000436401,0.000436401
94,729.894,0.58597,0.49992,1.05941,0.99955,0.99552,0.995,0.91099,0.42537,0.30649,0.94647,0.000429068,0.000429068,0.000429068
95,738.335,0.59536,0.50161,1.0369,0.99952,0.99552,0.995,0.88397,0.48213,0.31878,0.97722,0.000421736,0.000421736,0.000421736
96,745.04,0.58841,0.47482,1.05582,1,0.99946,0.995,0.90456,0.4182,0.30237,0.95073,0.000414403,0.000414403,0.000414403
97,753.823,0.6263,0.53375,1.06377,1,0.99982,0.995,0.91476,0.3985,0.29072,0.93069,0.00040707,0.00040707,0.00040707
98,760.286,0.63532,0.47116,1.13234,0.99966,1,0.995,0.89735,0.44612,0.29852,0.94702,0.000399738,0.000399738,0.000399738
99,768.913,0.5718,0.4912,1.05122,0.99953,1,0.995,0.89426,0.4657,0.31154,0.95846,0.000392405,0.000392405,0.000392405
100,775.34,0.61399,0.49459,1.06972,0.99967,1,0.995,0.91286,0.42559,0.3021,0.92404,0.000385073,0.000385073,0.000385073
101,784.139,0.56804,0.47771,1.01432,0.99944,1,0.995,0.91341,0.40074,0.29287,0.92009,0.00037774,0.00037774,0.00037774
102,790.742,0.55677,0.47351,1.0433,0.99934,1,0.995,0.90538,0.41549,0.29691,0.93019,0.000370407,0.000370407,0.000370407
103,799.184,0.56418,0.45818,1.0373,0.99893,1,0.995,0.91098,0.4023,0.29604,0.92166,0.000363075,0.000363075,0.000363075
104,806.814,0.5885,0.47632,1.07246,1,0.99966,0.995,0.91074,0.41551,0.28475,0.93007,0.000355742,0.000355742,0.000355742
105,814.323,0.59767,0.48456,1.08131,1,0.99986,0.995,0.9155,0.42872,0.28751,0.93942,0.00034841,0.00034841,0.00034841
106,822.813,0.56037,0.48075,1.05936,1,0.99993,0.995,0.91607,0.41575,0.2821,0.92975,0.000341077,0.000341077,0.000341077
107,829.288,0.55888,0.49834,1.01719,0.99974,1,0.995,0.90757,0.42786,0.28883,0.93734,0.000333744,0.000333744,0.000333744
108,838.165,0.55308,0.45561,1.05298,0.99945,1,0.995,0.91756,0.38801,0.27971,0.91809,0.000326412,0.000326412,0.000326412
109,844.369,0.53845,0.44408,1.02199,0.99956,1,0.995,0.92276,0.37461,0.28748,0.91039,0.000319079,0.000319079,0.000319079
110,853.089,0.52968,0.44854,1.02844,0.99966,1,0.995,0.90632,0.39052,0.28838,0.918,0.000311747,0.000311747,0.000311747
111,859.745,0.5387,0.41925,1.00973,0.99987,1,0.995,0.89988,0.40106,0.28686,0.92184,0.000304414,0.000304414,0.000304414
112,868.466,0.53383,0.48814,1.04316,1,0.99979,0.995,0.92806,0.36372,0.26224,0.89493,0.000297081,0.000297081,0.000297081
113,875.15,0.51888,0.42146,1.01763,1,0.99972,0.995,0.92914,0.37171,0.26251,0.89959,0.000289749,0.000289749,0.000289749
114,883.672,0.4969,0.44171,1.01315,1,0.99973,0.995,0.92864,0.35987,0.26159,0.87891,0.000282416,0.000282416,0.000282416
115,890.35,0.52811,0.42992,1.00692,1,0.99969,0.995,0.91572,0.36845,0.26108,0.88539,0.000275084,0.000275084,0.000275084
116,898.914,0.56491,0.46667,1.0169,1,0.99971,0.995,0.93815,0.34539,0.24581,0.87481,0.000267751,0.000267751,0.000267751
117,906.421,0.56839,0.46078,1.05086,1,0.99974,0.995,0.91265,0.42048,0.26208,0.93137,0.000260418,0.000260418,0.000260418
118,913.933,0.50301,0.40864,1.01572,1,0.99981,0.995,0.93023,0.38601,0.26146,0.9195,0.000253086,0.000253086,0.000253086
119,922.177,0.55537,0.43899,1.01861,1,0.99989,0.995,0.92692,0.36975,0.26301,0.90153,0.000245753,0.000245753,0.000245753
120,929.159,0.53769,0.47816,1.05608,1,0.99983,0.995,0.933,0.33603,0.24987,0.8854,0.000238421,0.000238421,0.000238421
121,937.448,0.5146,0.43041,0.99407,1,0.9998,0.995,0.93671,0.32986,0.24405,0.88016,0.000231088,0.000231088,0.000231088
122,944.041,0.51419,0.43914,1.02946,1,0.99973,0.995,0.94041,0.32637,0.24276,0.87504,0.000223755,0.000223755,0.000223755
123,953.057,0.52794,0.41688,1.00439,1,0.99983,0.995,0.93825,0.34257,0.24413,0.87987,0.000216423,0.000216423,0.000216423
124,959.618,0.56326,0.44347,1.04777,1,0.99981,0.995,0.94353,0.32967,0.24146,0.87089,0.00020909,0.00020909,0.00020909
125,968.031,0.47078,0.39499,0.99925,1,0.99982,0.995,0.94154,0.32928,0.24288,0.87306,0.000201758,0.000201758,0.000201758
126,974.93,0.52444,0.40458,1.00073,1,0.99988,0.995,0.93974,0.3075,0.24098,0.8667,0.000194425,0.000194425,0.000194425
